Budding Proportion,Generations to Homoplasmy
0.01,36
0.02,24
0.03,29
0.04,19
0.05,34
0.06,18
0.07,38
0.08,38
0.09,52
0.10,73
0.11,66
0.12,66
0.13,94
0.14,80
0.15,94
0.16,108
0.17,108
0.18,122
0.19,178
0.20,171
0.21,171
0.22,136
0.23,213
0.24,150
0.25,178
0.26,206
0.27,241
0.28,192
0.29,241
0.30,241
0.31,227
0.32,318
0.33,227
0.34,325
0.35,339
0.36,227
0.37,325
0.38,304
0.39,297
0.40,297
0.41,227
0.42,437
0.43,360
0.44,297
0.45,255
0.46,276
0.47,325
0.48,297
0.49,241
0.50,283
Created new window in existing browser session.
